iter	MCC	Logloss
0	0.8458884738	0.6116912069
1	0.9081771622	0.5399680852
2	0.9264609873	0.4740112395
3	0.945210928	0.4190928933
4	0.9489759152	0.3753339339
5	0.9537101287	0.3386130058
6	0.9658557241	0.2935811395
7	0.9715101483	0.2572237852
8	0.9740400742	0.2268046695
9	0.9754850647	0.2004052623
10	0.9764867419	0.1785948008
11	0.97700554	0.1601185536
12	0.9771910596	0.1466188749
13	0.9778761569	0.1324622258
14	0.9782426355	0.1214964026
15	0.9786372807	0.1111029007
16	0.9788514088	0.102548401
17	0.9789488052	0.09630913915
18	0.9790686028	0.09075547104
19	0.9793057917	0.08568654109
20	0.9794329956	0.08121732749
21	0.9796292038	0.07727681254
22	0.9797117084	0.07357623614
23	0.9798419918	0.0701574777
24	0.9799561521	0.0673948073
25	0.9801373152	0.06485109286
26	0.9802409632	0.06282160458
27	0.9803727754	0.06085674668
28	0.980429526	0.05915847823
29	0.9805064589	0.05780809454
30	0.9806108634	0.05628841008
31	0.9806813683	0.0549245163
32	0.9807737645	0.0538479957
