iter	Passed	Remaining
0	2750	10939672
1	5154	10249606
2	7414	9827327
3	9640	9580214
4	11915	9470453
5	14198	9401558
6	16909	9594711
7	19279	9569942
8	21802	9617198
9	24194	9602602
10	26957	9724184
11	29420	9725947
12	32132	9803034
13	34918	9889377
14	37778	9983702
15	40742	10091459
16	43425	10120671
17	46662	10268400
18	49152	10244484
19	52001	10293656
20	54846	10337224
21	57629	10365433
22	60278	10367900
23	63313	10433509
24	66243	10477009
25	68941	10481750
26	72033	10543641
27	74599	10526535
28	77427	10546186
29	80271	10566444
30	82998	10570250
31	85614	10559953
32	88054	10529143
